Date,ERCOT TX Green-E Solar BH23 [BGC],ERCOT TX Green-E Solar BH24 [BGC],ERCOT TX Green-E Solar BH25 [BGC],ERCOT TX Green-E Solar BH26 [BGC],ERCOT TX Green-E Solar BH27 [BGC],ERCOT TX Green-E Solar BH28 [BGC],ERCOT TX Green-E Solar BH29 [BGC],ERCOT TX Green-E Solar BH30 [BGC],ERCOT TX Green-E Solar BH31 [BGC],ERCOT TX Green-E Solar FH24 [BGC],ERCOT TX Green-E Solar FH25 [BGC],ERCOT TX Green-E Solar FH26 [BGC],ERCOT TX Green-E Solar FH27 [BGC],ERCOT TX Green-E Solar FH28 [BGC],ERCOT TX Green-E Solar FH29 [BGC],ERCOT TX Green-E Solar FH30 [BGC],ERCOT TX Green-E Solar FH31 [BGC],ERCOT TX Green-E Wind BH23 [BGC],ERCOT TX Green-E Wind BH24 [BGC],ERCOT TX Green-E Wind BH25 [BGC],ERCOT TX Green-E Wind BH26 [BGC],ERCOT TX Green-E Wind BH27 [BGC],ERCOT TX Green-E Wind BH28 [BGC],ERCOT TX Green-E Wind BH29 [BGC],ERCOT TX Green-E Wind BH30 [BGC],ERCOT TX Green-E Wind BH31 [BGC],ERCOT TX Green-E Wind FH24 [BGC],ERCOT TX Green-E Wind FH25 [BGC],ERCOT TX Green-E Wind FH26 [BGC],ERCOT TX Green-E Wind FH27 [BGC],ERCOT TX Green-E Wind FH28 [BGC],ERCOT TX Green-E Wind FH29 [BGC],ERCOT TX Green-E Wind FH30 [BGC],ERCOT TX Green-E Wind FH31 [BGC],NAR Green-E Wind BH23 [BGC],NAR Green-E Wind BH24 [BGC],NAR Green-E Wind BH25 [BGC],NAR Green-E Wind BH26 [BGC],NAR Green-E Wind BH27 [BGC],NAR Green-E Wind BH28 [BGC],NAR Green-E Wind BH29 [BGC],NAR Green-E Wind BH30 [BGC],NAR Green-E Wind BH31 [BGC],NAR Green-E Wind FH24 [BGC],NAR Green-E Wind FH25 [BGC],NAR Green-E Wind FH26 [BGC],NAR Green-E Wind FH27 [BGC],NAR Green-E Wind FH28 [BGC],NAR Green-E Wind FH29 [BGC],NAR Green-E Wind FH30 [BGC],NAR Green-E Wind FH31 [BGC],NEPOOL CT Class 1 RY24 [BGC],NEPOOL CT Class 1 RY25 [BGC],NEPOOL CT Class 1 RY26 [BGC],NEPOOL CT Class 2 RY24 [BGC],NEPOOL CT Class 2 RY25 [BGC],NEPOOL CT Class 2 RY26 [BGC],NEPOOL CT Class 3 RY24 [BGC],NEPOOL CT Class 3 RY25 [BGC],NEPOOL CT Class 3 RY26 [BGC],NEPOOL MA APS RY24 [BGC],NEPOOL MA APS RY25 [BGC],NEPOOL MA APS RY26 [BGC],NEPOOL MA CES-E RY24 [BGC],NEPOOL MA CES-E RY25 [BGC],NEPOOL MA CES-E RY26 [BGC],NEPOOL MA CPS RY24 [BGC],NEPOOL MA CPS RY25 [BGC],NEPOOL MA Class 1 RY24 [BGC],NEPOOL MA Class 1 RY25 [BGC],NEPOOL MA Class 1 RY26 [BGC],NEPOOL MA Class 2 Non-Waste RY24 [BGC],NEPOOL MA Class 2 Non-Waste RY25 [BGC],NEPOOL MA Class 2 Non-Waste RY26 [BGC],NEPOOL MA Class 2 Waste RY24 [BGC],NEPOOL MA Class 2 Waste RY25 [BGC],NEPOOL MA Class 2 Waste RY26 [BGC],NEPOOL MA SREC 1 Solar RY24 [BGC],NEPOOL MA SREC 2 Solar RY24 [BGC],NEPOOL MA SREC 2 Solar RY25 [BGC],NEPOOL MA SREC 2 Solar RY26 [BGC],NEPOOL ME Maine 1 RY24 [BGC],NEPOOL ME Maine 1 RY25 [BGC],NEPOOL ME Maine 1 RY26 [BGC],NEPOOL ME Maine 1A RY24 [BGC],NEPOOL ME Maine 1A RY25 [BGC],NEPOOL ME Maine 1A RY26 [BGC],NEPOOL ME Maine 2 RY24 [BGC],NEPOOL ME Maine 2 RY25 [BGC],NEPOOL ME Maine 2 RY26 [BGC],NEPOOL NH Class 1 RY24 [BGC],NEPOOL NH Class 1 RY25 [BGC],NEPOOL RI Existing RY24 [BGC],NEPOOL RI Existing RY25 [BGC],NEPOOL RI Existing RY26 [BGC],NEPOOL RI New RY24 [BGC],NEPOOL RI New RY25 [BGC],NEPOOL RI New RY26 [BGC],NY Class 1 RY24 [BGC],NY EDP RY24 [BGC],NY EDP RY25 [BGC],PJM DC Class 1 RY23 [BGC],PJM DC Class 1 RY24 [BGC],PJM DC Class 1 RY25 [BGC],PJM DC Class 1 RY26 [BGC],PJM DC SREC Solar RY23 [BGC],PJM DC SREC Solar RY24 [BGC],PJM DC SREC Solar RY25 [BGC],PJM DC SREC Solar RY26 [BGC],PJM MD Class 1 RY23 [BGC],PJM MD Class 1 RY24 [BGC],PJM MD Class 1 RY25 [BGC],PJM MD Class 1 RY26 [BGC],PJM MD Class 1 RY27 [BGC],PJM MD Class 2 RY23 [BGC],PJM MD Class 2 RY24 [BGC],PJM MD Class 2 RY25 [BGC],PJM MD Class 2 RY26 [BGC],PJM MD Class 2 RY27 [BGC],PJM MD SREC Solar RY23 [BGC],PJM MD SREC Solar RY24 [BGC],PJM MD SREC Solar RY25 [BGC],PJM MD SREC Solar RY26 [BGC],PJM MD SREC Solar RY27 [BGC],PJM MI Class 1 RY24 [BGC],PJM MI Class 1 RY25 [BGC],PJM MI Class 1 RY26 [BGC],PJM MI Class 1 RY27 [BGC],PJM MI Class 1 RY28 [BGC],PJM MI Class 2 RY24 [BGC],PJM MI Class 2 RY25 [BGC],PJM MI Class 2 RY26 [BGC],PJM MI Class 2 RY27 [BGC],PJM MI Class 2 RY28 [BGC],PJM MI RY24 [BGC],PJM MI RY25 [BGC],PJM MI SREC Solar RY24 [BGC],PJM MI SREC Solar RY25 [BGC],PJM MI SREC Solar RY26 [BGC],PJM MI SREC Solar RY27 [BGC],PJM MI SREC Solar RY28 [BGC],PJM NJ Class 1 RY24 [BGC],PJM NJ Class 1 RY25 [BGC],PJM NJ Class 1 RY26 [BGC],PJM NJ Class 1 RY27 [BGC],PJM NJ Class 1 RY28 [BGC],PJM NJ Class 2 RY25 [BGC],PJM NJ Class 2 RY26 [BGC],PJM NJ Class 2 RY27 [BGC],PJM NJ Class 2 RY28 [BGC],PJM NJ SREC Solar RY24 [BGC],PJM NJ SREC Solar RY25 [BGC],PJM NJ SREC Solar RY26 [BGC],PJM NJ SREC Solar RY27 [BGC],PJM NJ SREC Solar RY28 [BGC],PJM OH Certified RY23 [BGC],PJM OH Certified RY24 [BGC],PJM OH Certified RY25 [BGC],PJM OH Certified RY26 [BGC],PJM PA Class 1 RY24 [BGC],PJM PA Class 1 RY25 [BGC],PJM PA Class 1 RY26 [BGC],PJM PA Class 1 RY27 [BGC],PJM PA Class 1 RY28 [BGC],PJM PA Class 2 RY24 [BGC],PJM PA Class 2 RY25 [BGC],PJM PA Class 2 RY26 [BGC],PJM PA Class 2 RY27 [BGC],PJM PA Class 2 RY28 [BGC],PJM PA SREC Solar RY24 [BGC],PJM PA SREC Solar RY25 [BGC],PJM PA SREC Solar RY26 [BGC],PJM PA SREC Solar RY27 [BGC],PJM PA SREC Solar RY28 [BGC],PJM Tri-Qual RY24 [BGC],PJM Tri-Qual RY25 [BGC],PJM Tri-Qual RY26 [BGC],PJM Tri-Qual RY27 [BGC],PJM Tri-Qual RY28 [BGC],PJM VA DG RY23 [BGC],PJM VA DG RY24 [BGC],PJM VA DG RY25 [BGC],PJM VA In-State RY24 [BGC],PJM VA In-State RY25 [BGC],PJM VA RY23 [BGC],PJM VA RY24 [BGC],PJM VA RY25 [BGC],WECC CA PCC 3 RY24 [BGC],WECC CA PCC 3 RY25 [BGC],WECC Hydro RY24 [BGC],WECC Hydro RY25 [BGC]
6/12/2025,0.75,1.825,2.175,2.4,2.675,2.825,2.95,3,3.175,1,1.875,2.25,2.65,2.8,2.925,2.975,3.15,0.75,1.875,2.175,2.55,2.725,2.9,2.95,3,3.175,1,2,2.25,2.7,2.875,2.925,2.975,3.15,0.75,1.825,2.175,2.55,2.725,2.9,3.375,3.375,3.5,1,1.875,2.25,2.7,2.875,2.925,3.375,3.5,38.5,37,35,28.5,28,28,28,28,28,2.75,3.75,5,9.725,9.725,9.725,44,44,38,37,35,33,34.125,34.375,17.25,23.25,25.25,302.5,231.25,231.25,224,37.75,36.25,35.75,38,36.5,35,5.25,4.35,4.35,38,37,5.375,4.5,5.125,38,37,35,42.5,2.5,5,30.15,24.625,25,25.125,426.25,420.5,422.5,420,28.75,24.5,24.5,23.375,23,12.75,13.375,13.75,13.75,13.75,58.25,53.375,53.5,43.5,33.875,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,3.75,NULL,NULL,NULL,NULL,NULL,24.625,24.875,25.25,25.25,25.25,30,30.5,32.5,32.5,200.5,202,175,162.5,152.5,2.625,2.125,2.2,2.375,24.625,24.625,23.5,23,23,26.5,27,27,27,27,25.125,25.5,24.625,25,25,24.625,24.875,25.25,25.25,25.25,27.5,27.5,27.5,27.5,27.75,24.625,24.875,24.875,5,5.25,4.25,5
6/11/2025,0.75,1.875,2.175,2.55,2.725,2.9,2.95,3,3.175,1,2,2.25,2.7,2.875,2.925,2.975,3.15,0.75,1.875,2.175,2.55,2.725,2.9,2.95,3,3.175,1,2,2.25,2.7,2.875,2.925,2.975,3.15,0.75,1.875,2.175,2.55,2.725,2.9,3.375,3.375,3.5,1,2,2.25,2.7,2.875,2.925,3.375,3.5,38.5,37,35,28.5,28,28,28,28,28,2.75,3.75,5,9.725,9.725,9.725,44,44,38,37,35,33,34.125,34.375,17.25,23.25,25.25,302.5,231.25,231.25,224,37.75,36.25,35.75,38,36.5,35,5.25,4.35,4.35,38,37,5.375,4.5,5.125,38,37,35,42.5,2.5,5,30.15,24.625,25,25.125,426.25,420.5,422.5,420,28.75,24.5,24.5,23.375,23,12.75,13.375,13.75,13.75,13.75,54,53.375,53.5,43.5,33.875,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,3.75,NULL,NULL,NULL,NULL,NULL,24.625,24.875,25.25,25.25,25.25,30,30.5,32.5,32.5,200.5,202,175,162.5,152.5,2.625,2.125,2.2,2.375,24.625,24.625,23.5,23,23,26.5,27,27,27,27,25.125,25.5,24.625,25,25,24.625,24.875,25.25,25.25,25.25,27.5,27.5,27.5,27.5,27.75,24.625,24.875,24.875,5,5.25,4.25,5
6/10/2025,0.75,1.875,2.15,2.55,2.725,2.9,2.95,3,3.175,1,2,2.425,2.7,2.875,2.925,2.975,3.15,0.75,1.875,2.15,2.55,2.725,2.9,2.95,3,3.175,1,2,2.425,2.7,2.875,2.925,2.975,3.15,0.75,1.875,2.15,2.55,2.725,2.9,3.375,3.375,3.5,1,2,2.425,2.7,2.875,2.925,3.375,3.5,38.5,37,35,28.5,28,28,28,28,28,2.75,3.75,5,9.725,9.725,9.725,44,44,38,37,35,33,34.125,34.375,17.25,23.25,25.25,302.5,231.25,231.25,224,37.75,36.25,35.75,38,36.5,35,5.25,4.35,4.35,38,37,5.375,4.5,5.125,38,37,35,42.5,2.5,5,30.15,24.625,25,25.125,426.25,420.5,422.5,420,28.75,24.5,24.5,23.375,23,12.75,13.375,13.75,13.75,13.75,53.875,53.375,53.5,43.5,33.875,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,3.75,NULL,NULL,NULL,NULL,NULL,24.625,24.875,25.25,25.25,25.25,30,30.5,32.5,32.5,200.5,202,175,162.5,152.5,2.625,2.125,2.2,2.375,24.625,24.625,23.5,23,23,29,29,29,29,29,25.125,25.5,24.625,25,25,24.625,24.875,25.25,25.25,25.25,27.5,27.5,27.5,27.5,27.75,24.625,24.875,24.875,5,5.25,4.25,5
6/9/2025,0.75,1.875,2.15,2.55,2.725,2.9,2.95,3,3.175,1,2,2.425,2.7,2.875,2.925,2.975,3.15,0.75,1.875,2.15,2.55,2.725,2.9,2.95,3,3.175,1,2,2.425,2.7,2.875,2.925,2.975,3.15,0.75,1.875,2.15,2.55,2.725,2.9,3.375,3.375,3.5,1,2,2.425,2.7,2.875,2.925,3.375,3.5,38.5,37,35,28.5,28,28,28,28,28,2.75,3.75,5,9.725,9.725,9.725,44,44,38,37,35,33,34.125,34.375,17.25,23.25,25.25,302.5,231.25,231.25,224,37.75,36.25,35.75,38,36.5,35,5.25,4.35,4.35,38,37,5.375,4.5,5.125,38,37,35,42.5,2.5,5,29.25,24.625,25.25,25.125,426.25,420.5,422.5,420,28.75,24.5,24.5,23.375,23,12.75,13.375,13.75,13.75,13.75,53.875,53.375,53.5,43.5,33.875,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,3.75,NULL,NULL,NULL,NULL,NULL,24.75,25.25,25.25,25.75,25.5,32.75,32.75,33.75,34.25,200.5,202,175,162.5,152.5,2.55,2.125,2.2,2.375,24.625,25,23.75,23.5,23.5,30.5,31.75,32,32.75,33,25.125,25.5,24.625,25,25,24.75,25.25,25.25,25.75,25.5,27.5,27.5,27.5,27.5,27.75,24.625,24.875,24.875,5,5.25,4.25,5
6/6/2025,0.75,1.875,2.15,2.55,2.725,2.9,2.95,3,3.175,1,2,2.425,2.7,2.875,2.925,2.975,3.15,0.75,1.875,2.15,2.55,2.725,2.9,2.95,3,3.175,1,2,2.425,2.7,2.875,2.925,2.975,3.15,0.75,1.875,2.15,2.55,2.725,2.9,3.375,3.375,3.5,1,2,2.425,2.7,2.875,2.925,3.375,3.5,38.5,37,35,28.5,28,28,28,28,28,2.75,3.75,5,9.725,9.725,9.725,44,44,38,37,35,33,34.125,34.375,17.25,23.25,25.25,302.5,231.25,231.25,224,37.75,36.25,35.75,38,36.5,35,5.25,4.35,4.35,38,37,5.375,4.5,5.125,38,37,35,42.5,2.5,5,29.25,24.625,25.25,25.125,426.25,420.5,422.5,420,27.75,24.5,24.5,23.375,23,12.75,13.375,13.75,13.75,13.75,53.875,53.5,53.75,43.5,33.875,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,3.75,NULL,NULL,NULL,NULL,NULL,24.75,25.25,25.25,25.75,25.5,33.125,33.875,34.25,34.25,200.5,202,175,162.5,152.5,2.55,2.125,2.2,2.375,24.625,25,23.75,23.5,23.5,33.5,33.5,33.625,33.5,33.5,25.125,25.5,24.625,25,25,24.75,25.25,25.25,25.75,25.5,27.5,27.5,27.5,27.5,27.75,24.625,24.875,24.875,5,5.25,4.25,5
6/5/2025,0.75,1.875,2.15,2.55,2.725,2.9,2.95,3,3.175,1,2,2.425,2.7,2.875,2.925,2.975,3.15,0.75,1.875,2.15,2.55,2.725,2.9,2.95,3,3.175,1,2,2.425,2.7,2.875,2.925,2.975,3.15,0.75,1.875,2.15,2.55,2.725,2.9,3.375,3.375,3.5,1,2,2.425,2.7,2.875,2.925,3.375,3.5,38.5,37,35,28.5,28,28,28,28,28,2.75,3.75,5,9.725,9.725,9.725,44,44,38,37,35,33,34.125,34.375,17.25,23.25,25.25,302.5,231.25,231.25,224,37.75,36.25,35.75,38,36.5,35,5.25,4.35,4.35,38,37,5.375,4.5,5.125,38,37,35,42.5,2.5,5,28.5,24.625,25.25,25.125,426.25,420.5,422.5,420,27.75,24.5,24.5,23.375,23,12.875,13.375,13.75,13.75,13.75,53.875,53.5,53.75,43.5,33.875,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,3.75,NULL,NULL,NULL,NULL,NULL,24.75,25.25,25.25,25.75,25.5,33.125,33.875,34.25,34.25,200.5,202,175,162.5,152.5,2.55,2.125,2.2,2.375,24.625,25,23.75,23.5,23.5,33.5,33.5,33.625,33.5,33.5,25.125,25.5,24.625,25,25,24.75,25.25,25.25,25.75,25.5,27.5,27.5,27.5,27.5,27.75,24.625,24.875,24.875,5,5.25,4.25,5
6/4/2025,0.75,1.9,2.225,2.55,2.725,2.9,2.95,3.125,3.175,1,2.05,2.425,2.7,2.875,2.925,3.1,3.15,0.75,1.9,2.225,2.55,2.725,2.9,2.95,3.125,3.175,1,2.05,2.425,2.7,2.875,2.925,3.1,3.15,0.75,1.9,2.225,2.55,2.725,2.9,3.375,3.5,3.5,1,2.05,2.425,2.7,2.875,2.925,3.5,3.5,38,37.375,35,28.5,28,28,28,28,28,2.75,3.75,5,9.725,9.725,9.725,44,44,38,37,35,33,34.125,34.375,17.25,23.25,25.25,302.5,231.25,231.25,224,37.75,36.25,35.75,38,36.5,35,4.25,4.35,4.35,38,37,5.375,4.5,5.125,38,37,35,42.5,2.5,5,28.5,24.625,25.25,25.125,422.5,420.5,422.5,420,27.75,24.5,24.5,24.375,24.125,12.575,13.375,13.75,13.75,13.75,53.875,53.5,53.75,44,33.625,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,3.75,NULL,NULL,NULL,NULL,NULL,25.5,25.75,26,26,26,33.5,34,34.25,34.25,200.5,202,175,162.5,152.5,2.55,2.125,2.2,2.375,25.25,25.5,24.75,23.875,23.875,33.5,33.5,33.75,33.5,33.5,26.125,26,25.75,25.5,25.5,25.5,25.75,26,26,26,30.375,30.5,30.75,27.5,27.75,25,25.125,26,5,5.25,4.25,5
6/3/2025,0.75,1.9,2.225,2.55,2.725,2.9,2.95,3.125,3.175,1,2.05,2.425,2.7,2.875,2.925,3.1,3.15,0.75,1.9,2.225,2.55,2.725,2.9,2.95,3.125,3.175,1,2.05,2.425,2.7,2.875,2.925,3.1,3.15,0.75,1.9,2.225,2.55,2.725,2.9,3.375,3.5,3.5,1,2.05,2.425,2.7,2.875,2.925,3.5,3.5,37,37,36,28.5,28,28,28,28,28,2.75,3.75,5,9.725,9.725,9.725,44,44,37,36.5,36,33,34.125,34.375,17.25,23.25,25.25,302.5,231.25,232.5,224,36.75,36.25,35.75,37,36.5,36,4.25,4.35,4.35,37,36.5,5.375,4.5,5.125,37,36.5,36,42,2.75,4.5,28.5,25,25.125,25.125,426.25,420.5,422.5,420,27.75,24.5,24.5,24.375,24.125,12.875,13.375,13.75,13.75,13.75,53.875,53.5,53.75,44.125,33.625,30.5,31,29.625,28.375,27.25,34,35,34.125,33.125,33.5,4,3.75,31.375,32,30.75,29.5,29,25.625,26.125,26.5,26.5,26.5,33.75,34,34.25,34.25,200.5,202,175,162.5,152.5,2.55,2.125,2.2,2.375,25.25,25.5,25,23.875,23.875,33.5,34,34.625,34.625,34.625,26.125,26,26,25.5,25.5,25.625,26.125,26.5,26.5,26.5,30.375,30.5,30.75,27.5,27.75,25,25.125,26,5,5.25,4.25,5
6/2/2025,0.75,1.9,2.3,2.575,2.75,3.025,3.125,3.25,3.25,1,2.075,2.45,2.6,3,3.125,3.25,3.25,0.75,1.9,2.3,2.575,2.75,3.025,3.125,3.25,3.25,1,2.075,2.45,2.6,3,3.125,3.25,3.25,0.75,1.9,2.3,2.575,2.75,3.025,3.5,3.5,3.5,1,2.075,2.45,2.6,3,3.125,3.5,3.5,38.5,38.375,38,28.5,28,28,28,28,28,2.75,3.75,5,9.725,9.725,9.725,44,44,38.5,38,37.75,33,34.125,34.375,17.25,23.25,25.25,302.5,231.25,232.5,224,37.75,38,38,38,38,38,4.5,4.35,4.35,38.625,38.25,5.375,4.5,5.125,38.125,37.875,38,42,2.75,5,28.5,25,25.125,25.125,422.5,420.5,422.5,420,27.75,24.375,24.625,24.625,24,12.575,13.375,13.75,13.75,13.75,53.875,53.5,53.75,44.125,33.625,30.5,31,31,30,28.25,34.5,35.25,35.75,35.75,35.75,4,3.75,31.375,32,32,30.25,29.5,25.625,26.125,26.5,26.5,26.5,33.75,34,34.25,34.25,200,202,175,166.25,147.5,2.55,2.125,2.2,2.375,25.25,25.5,25.375,24.25,24.125,33.5,34,34.5,34.5,34.5,26.125,26,26,25.5,25.5,25.625,26.125,26.5,26.5,26.5,30.375,30.5,30.75,27.5,27.75,25,25.125,26,5,5.25,4.25,5
5/30/2025,0.75,1.9,2.3,2.575,2.75,3.025,3.125,3.25,3.25,1,2.075,2.45,2.6,3,3.125,3.25,3.25,0.75,1.9,2.3,2.575,2.75,3.025,3.125,3.25,3.25,1,2.075,2.45,2.6,3,3.125,3.25,3.25,0.75,1.9,2.3,2.575,2.75,3.025,3.5,3.5,3.5,1,2.075,2.45,2.6,3,3.125,3.5,3.5,38.5,38.5,38,28.5,28,28,28,28,28,2.75,3.75,5,9.725,9.725,9.725,44,44,38.5,38.125,37.75,33,34.125,34.375,17.25,23.25,25.25,302.5,231.25,232.5,224,37.75,38,38,38,38,38,4.5,4.35,4.35,38.625,38.25,5.375,4.5,5.125,38.125,37.875,38,42,2.75,4.75,NULL,25,25.125,25.125,NULL,420.5,422.5,420,NULL,24.375,24.625,24.625,24,NULL,13.375,13.75,13.75,13.75,NULL,53.5,53.75,44.125,33.625,30.5,31,29.625,28.375,27.25,34,35,34.125,33.125,33.5,NULL,3.75,31.375,32,30.75,29.5,29,25.625,26,26.5,26.5,26.5,33.875,34,34.25,34.25,200,202,175,166.25,147.5,NULL,2.125,2.2,2.375,25.25,25.5,25.375,24.25,24.125,33.5,34,34.5,34.5,34.5,26.125,26.25,26,25.5,25.5,25.625,26,26.5,26.5,26.5,30.375,30.5,30.75,27.5,27.75,25,25.125,25.125,5,5.25,4.25,5
